Words,label
Kutta,1
Bodmaish,1
Idiot,1
Rubbish,1
Mair khabi,1
ei bokachoda,1
bainchod,1
khankir pola,1
motherchod,1
amre chinos,1
jutar bari,1
you are hot,1
shoytan,1
kelani chinos,1
laura,1
bal,1
tui ay khali ,1
shuworer baccha,1
fuck,1
bitch,1
bloddy fool,1
holy fuck,1
behenchod,1
may re bap,1
kya pose hai,1
aur dekhao,1
puja the gangubhai,1
uff jaan,1
purai agun,1
richin,0
okaloti kora,0
plead for,0
assign to,0
bid fair,0
queer go,0
odvuto bepar,0
interest,0
opportunity,0
van,0
enjoyment,0
development,0
growth,0
blessing,0
blossom,0
betterment,0
upswing,0
soft,0
likely,0
glad,0
jutar bari,1
you are hot,1
shoytan,1
kelani chinos,1
laura,1
bal,1
pleasent,0
merry,0
face to face,0
by the way,0
Emergency,0
call me,0
i know,0
goodbye,0
Gotta go,0
just kidding,0
eger,0
efficient,0
effortless,0
elegant,0
eloquent,0
Kutta,1
Bodmaish,1
Idiot,1
Rubbish,1
Mair khabi,1
powerful,0
precious,0
pride,0
proactive,0
professional,0
profound,0
prompt,0
puntucal,0
qualified,0
quiet,0
racy,0
realistic,0
refined,0
relaxed,0
remarkable,0
resolute,0
respectful,0
responsible,0
rebust,0
safe,0
satisfied,0
secure,0
insecure,0
seductive,0
self depended,0
self determination,0
sensational,0
sense of humor,0
senstive,0
sensible,0
sensuous,0
skilful,0
sincere,0
skilled,0
smart,0
smooth,0
sociable,0
self consciousness,0
solif,0
sparkling,0
sophisticated,0
special,0
spontaneous,0
stable,0
strong,0
stunning,0
sucessful,0
super,0
surprised,0
superb,0
tactful,0
thankful,0
thrilling,0
timely,0
tolerant,0
traditional,0
trust,0
trustworthy,0
truthful,0
ultimate,0
unbelievable,0
unihabited,0
unique,0
unselfish,0
valuable,0
versatile,0
victorious,0
vigorous,0
vivid,0
warm,0
wealthy,0
well,0
whole,0
wise,0
witty,0
integrity,0
wonderful,0
youthful,0
veritable,0
zest,0
abge,0
jor,0
gurutto,0
joruri,0
dhongsho,0
chay,0
chaya,0
cabi,0
sumodhur,0
obogga,0
prokash,0
disinter,0
emphasis,0
emotion,0
emergency,0
composer,0
interlude,0
bohot accha,0
lakshmi ladki,0
adbhut,0
abal,1
chagoler tin no baccha,1
kuddus boyati,1
akash vora tara,1
khela hobe,1
batpar,1
neribadi,1
scandal,1
etai science,1
third class,1
mahatvapoorn,0
mahaan,0
kuchh,0
baith jao,0
pyaar,0
zamana,0
samdandh,0
kathor parishram,0
aakarshak,0
sundar,0
Kutta,1
Bodmaish,1
Idiot,1
Rubbish,1
Mair khabi,1
ei bokachoda,1
bainchod,1
khankir pola,1
motherchod,1
amre chinos,1
dil ,0
zindegi,0
bandegi,0
sajda,0
ladka,0
fasana,0
maut,0
achaanak,0
kotto cute,0
what a smile,0
nosta,1
nongra,1
matari,1
halarput,1
dalal,1
ganjakhor,1
nari lovi,1
vatar,1
chodanir poa,1
sudir vai,1
crush,0
looking gorgeous,0
lal pori,0
simple,0
agun,0
aesthetic,0
queen,0
my princes,0
naika,0
wow,0
monomughdhokor,0
poripurnota,0
alhamdulillah,0
shukriya,0
darling,0
pordashil,0
heartbreaking,0
beauty queen,0
hero ,0
shuvessa,0
dhemnamo,1
chodani,1
chodna,1
achuda,1
ami tor maa k chudmu,1
tor mayre chudi,1
boltu chire felbo,1
dhon khecha,1
gaand marano,1
lehr khawar baccha,1
naang,1
putki,1
shetar bal,1
shewar bal,1
sutmarani,1
vuuski maagi,1
shuorer naati,1
jhata khaika,1
chenchra,1
shoitaner baccha,1
kutni buri,1
kutni mashi,1
ghute kurani,1
chutiya,1
chutmarani,1
mukh puri,1
gaach bolod,1
kelani khabi,1
chaap nis na mama,1
aatel marka,1
chhatar matha,1
khisti,1
tel mekhe tor mukhe hege dibo,1
tumaar bichi fulko luchi,1
tumi manush na bandorer beechi,1
maarbo kaane bajbo dhone,1
tumio ekta manush telapokao ekta pakhi,1
pode nei cham horekrishno naam,1
maarbo ekhane laash porbe shoshane,1
ei bokachoda,1
bainchod,1
khankir pola,1
motherchod,1
amre chinos,1
boidi vab,1
khasa magi,1
pussy,1
chusbo,1
potita,1
aso khela hobe,1
uff kije lagse,1
horines king,1
kheye dibo,1
astagfirullah,0
netri,0
aapako kaamayaabee mile,0
aanand,0
aashcharyajanak,0
amooly,0
shreshth,0
soch,0
prashansaneey,0
falak,0
badal ke sang,0
hasita shundor,0
